Titel,Vorname,Nachname,Funktion,Annotator,ID,Fakultaet,Institut,Kommentar
Prof. Dr. rer. nat.,Andreas,Link ,Professor - Pharmazeutische / Medizinische Chemie,MS,1152429,MNF,Institut für Pharmazie,
Prof.,Christian,Frosch,Lehrstuhlinhaber - Caspar-David-Friedrich-Institut,MS,,CDFI,Caspar-David-Friedrich-Institut,als Kuenstler nicht publiziert?
Prof. Dr.,Alexander,Wacker,Professor - Tierökologie,MS,1070397,MNF,Zoologisches Institut und Museum,
Prof. Dr.,Allard,Tamminga,Lehrstuhlinhaber - Theoretische Philosophie,MS,16382291,PHIL,Institut für Philosophie,
Prof. Dr.,Andreas,Kuß,Professor - Abteilung für Funktionelle Genomforschung,MS,28784297,MNF,Interfakultäres Institut für Genetik und Funktionelle Genomforschung,
Prof. Dr.,Andre,Melzer,"Lehrstuhlinhaber - Kolloidale Plasmen, Prüfungsausschussvorsitzender - Institut für Physik",MS,528741,MNF,Institut für Physik,
Prof. Dr.,Anette,Sosna,Lehrstuhlinhaberin - Didaktik der Deutschen Sprache und Literatur,MS,,PHIL,Institut für Deutsche Philologie,nicht auf englisch publiziert?
Prof. Dr.,Björn Philipp,Lehmann,Professor - Physiologie und Biochemie der Tiere,MS,,MNF,Zoologisches Institut und Museum,no Matches in WebOfScience
Prof. Dr.,Christiane,Helm,Lehrstuhlinhaberin - Weiche Materie,MS,1633393,MNF,Institut für Physik,
Prof. Dr.,Christian,von Savigny,Lehrstuhlinhaber - Umweltphysik/ B.Sc. Studiengang Umweltwissenschaften,MS,209287,MNF,Institut für Physik,
Prof. Dr.,Cornelia,Linde,Professorin - Historisches Institut,MS,10996438,MNF,Historisches Institut,
Prof. Dr.,Daniel,Schiller,Lehrstuhlinhaber - Wirtschafts- und Sozialgeographie,MS,832193,MNF,Institut für Geographie und Geologie,
Prof. Dr.,Daniel,Siegel,Lehrstuhlinhaber - Institut für Physik,MS,29122867,MNF,Institut für Physik,
Prof. Dr.,Detlef,Jahn,Professor - Vergleichende Regierungslehre,MS,9033334,PHIL,Institut für Politik- und Kommunikationswissenschaft,
Prof. Dr. Dr.,Michael,North,"Lehrstuhlinhaber - Allgemeine Geschichte der Neuzeit, Gf. Direktor - Historisches Institut",MS,40896787,PHIL,Historisches Institut,
Prof. Dr.,Gerhard Christian,Weilandt,Lehrstuhlinhaber - Kunstgeschichte (Schwerpunkt Mittelalter und Frühe Neuzeit),MS,17912705,CDFI,Caspar-David-Friedrich-Institut,
Prof. Dr.,Gesa,zur Nieden,Lehrstuhlinhaberin - Musikwissenschaft,MS,18551932,PHIL,Institut für Kirchenmusik und Musikwissenschaft,
Prof. Dr.,Holger,Fehske,"Lehrstuhlinhaber - 291, Gf. Direktor - Institut für Physik",MS,7491794,MNF,Institut für Physik,
Prof. Dr. iur.,Claus Dieter,Classen,"Lehrstuhlinhaber - Lehrstuhl für Öffentliches Recht, Europa- und Völkerrecht",MS,43934982,RSF,Fachbereich Rechtswissenschaften,Öffentliches Recht
Prof. Dr.,Jan,Zeller,Lehrstuhlinhaber - Slawische Sprachwissenschaft,MS,1933480,PHIL,Institut für Slawistik,
Prof. Dr.,Hans,Pechtl,"Lehrstuhlinhaber - Lehrstuhl für ABWL, insbesondere Marketing",NJ,13135515,RSF,Fachbereich Wirtschaftswissenschaften,Allgemeine Betriebswirtschaftslehre
Prof. Dr.,Joscha,Diehl,Professor - Juniorprofessur Stochastische Analysis,NJ,16726735,MNF,Institut für Mathematik und Informatik,
Prof. Dr. jur.,Axel,Beater,"Lehrstuhlinhaber - Lehrstuhl für Bürgerliches Recht, Wirtschaftsrecht und Medienrecht",NJ,,RSF,Fachbereich Rechtswissenschaften,"Bürgerliches Recht, no Matches in WebOfScience, Veröffentlichungen auf Website"
Prof. Dr. jur.,Boris,Schinkels,"Lehrstuhlinhaber - Lehrstuhl für Bürgerliches Recht, Internationales und Europäisches Privatrecht sowie Rechtsvergleichung.",NJ,14030208,RSF,Fachbereich Rechtswissenschaften,Bürgerliches Recht 
Prof. Dr. jur.,Christian,Fahl,Lehrstuhlinhaber - 444,NJ,,RSF,Fachbereich Rechtswissenschaften,"Strafrecht, no Matches in WebOfScience, Veröffentlichungen in Datei auf Website"
Prof. Dr. jur. Dipl. Sozialpäd.,Heinrich,Lang,"Lehrstuhlinhaber - Lehrstuhl für Öffentliches Recht, Sozial- und Gesundheitsrecht",NJ,,RSF,Fachbereich Rechtswissenschaften,"Öffentliches Recht, no Matches in WebOfScience, Veröffentlichungen auf Website, im Ruhestand"
Prof. Dr. jur.,Grischa,Merkel,Lehrstuhlinhaberin - Lehrstuhl für Strafrecht und Strafprozessrecht,NJ,12002066,RSF,Fachbereich Rechtswissenschaften,"Strafrecht, keine Publikationen für Uni Greifswald"
Prof. Dr. jur.,Hans-Werner,Eckert,"Lehrstuhlinhaber - Lehrstuhl für Bürgerliches Recht, Deutsches und Europäisches Arbeitsrecht, Sozialrecht und Methodenlehre",NJ,,RSF,Fachbereich Rechtswissenschaften,"Bürgerliches Recht, no Matches in WebOfScience, Veröffentlichungen auf Website, im Ruhestand"
Prof. Dr. jur.,Joachim,Lege,"Lehrstuhlinhaber - Lehrstuhl für Öffentliches Recht, Verfassungsgeschichte, Rechts- und Staatsphilosophie",NJ,,RSF,Fachbereich Rechtswissenschaften,"Strafrecht, no Matches in WebOfScience, Veröffentlichungen auf Website"
Prof. Dr. jur.,Michael,Rodi,"Lehrstuhlinhaber - Lehrstuhl für Öffentliches Recht, insb. Verwaltungs- und Umweltrecht, Prodekan - Rechts- und Staatswissenschaftliche Fakultät",NJ,,RSF,Fachbereich Rechtswissenschaften,"Öffentliches Recht, WOS: 33344545 aber auch Publikationen in Immunologie???, Veröffentlichungen auch auf Website"
Prof. Dr. jur.,Sabine,Schlacke,"Lehrstuhlinhaberin - Lehrstuhl für Öffentliches Recht, insb. Verwaltungs- und Umweltrecht",NJ,27809429,RSF,Fachbereich Rechtswissenschaften,"Öffentliches Recht, keine Publikationen für Uni Greifswald auf WebOfScience"
Prof. Dr. jur.,Stefan,Habermeier,"Lehrstuhlinhaber - Lehrstuhl für Bürgerliches Recht, Wirtschaftsrecht und Gesellschaftsrecht",NJ,,RSF,Fachbereich Rechtswissenschaften,"Bürgerliches Recht, no Match auf WebOfScience, keine Publikations-Liste gefunden"
Prof. Dr. jur. utr.,Ralph,Weber,"Lehrstuhlinhaber - Lehrstuhl für Bürgerliches Recht, Medizinrecht, Arbeitsrecht und Rechtsgeschichte",NJ,,RSF,Fachbereich Rechtswissenschaften,"Bürgerliches Recht, no Match auf WebOfScience, Auswahl an Publikationen auf Wikipedia: https://de.wikipedia.org/wiki/Ralph_Weber_(Rechtswissenschaftler)#Ver%C3%B6ffentlichungen_(Auswahl)"
Prof. Dr. jur.,Uwe,Kischel,"Lehrstuhlinhaber - Lehrstuhl für Öffentliches Recht, Europarecht und Rechtsvergleichung (Nordosteuropa), Mercator-Stiftungslehrstuhl",NJ,23415830,RSF,Fachbereich Rechtswissenschaften,"Öffentliches Recht, weitere Publikationene auf Webseite"
Prof. Dr.,Kilian Peter,Heck,Lehrstuhlinhaber - Kunstgeschichte (Allgemeine Kunstgeschichte),NJ,8456107,CSFI,Caspar-David-Friedrich-Institut,"Kunstgeschichte, weitere Publikationen auf Uni-Webseite"
Prof. Dr.,Klaus,Beck,Lehrstuhlinhaber - Kommunikationswissenschaft,NJ,,PHIL,Institut für Politik- und Kommunikationswissenschaft,"no Match on WebOfScience, Publikationen auf Webseite"
Prof. Dr.,Leander,Kempen,Professor - Mathematik und Informatik,NJ,23161498,MNF,Institut für Mathematik und Informatik,
Prof. Dr.,Lutz,Schweikhard,Lehrstuhlinhaber - Atom- und Molekülphysik,NJ,2360917,MNF,Institut für Physik,
Prof. Dr.,Markus,Münzenberg,Lehrstuhlinhaber - Grenz- und Oberflächenphysik,NJ,12417651,MNF,Institut für Physik,
Prof. Dr.,Matthias,Schneider,"Lehrstuhlinhaber - Kirchenmusik/Orgel, Gf. Direktor - Institut für Kirchenmusik und Musikwissenschaft",NJ,34436052,PHIL,Institut für Kirchenmusik und Musikwissenschaft,
Prof. Dr.,Michael,Höhle,Professor - Mathematik und Informatik,FB,1683686,MNF,Institut für Mathematik und Informatik,
Prof. Dr.,Mihaela,Delcea,Professorin - Biophysikalische Chemie,FB,1690610,MNF,Institut für Biochemie,
Prof. Dr.,Oliver,von Bohlen und Halbach,Professor - Institut für Anatomie und Zellbiologie,FB,759114,MNF,Institut für Anatomie und Zellbiologie,
Prof. Dr.,Per,Helander,"Professor - Max-Planck-Institut für Plasmaphysik, Greifswald",FB,22341702,MNF,Max-Planck-Institut für Plasmaphysik,
Prof. Dr. phil.,Christer,Lindqvist,Lehrstuhlinhaber - Skandinavistische Sprachwissenschaft,FB,11278775,PHIL,Institut für Fennistik und Skandinavistik,
Prof. Dr. phil.,Cordelia,Heß,"Gf. Direktorin - Historisches Institut, Lehrstuhlinhaberin - Nordische Geschichte",FB,22009360,PHIL,Historisches Institut,
Prof. Dr. phil.,Eckhard,Schumacher,"Lehrstuhlinhaber - Neuere Deutsche Literatur und Literaturtheorie, Prorektor - Universität Greifswald, Stellv. Direktor - Institut für Deutsche Philologie",FB,27978917,PHIL,Institut für Deutsche Philologie,
Prof. Dr. phil.,Hartmut,Lutz,Lehrstuhlinhaber - Amerikanistik/Kanadistik,FB,24618944,PHIL,Institut für Anglistik und Amerikanistik,im Ruhestand
Prof. Dr. phil.,Helmut,Klüter,Professor - 227,FB,,MNF,Institut für Geographie und Geologie,"im Ruhestand, finde nur einen Harald Klüter"
Prof. Dr. phil.,Hubertus,Buchstein,Lehrstuhlinhaber - Politische Theorie und Ideengeschichte,FB,5548040,PHIL,Institut für Politik- und Kommunikationswissenschaft,
Prof. Dr. phil.,Jürgen,Schiewe,"Gf. Direktor - Institut für Deutsche Philologie, Lehrstuhlinhaber - Germanistische Sprachwissenschaft",FB,27932947,PHIL,Institut für Deutsche Philologie,
Prof. Dr. phil.,Karl-Heinz,Spieß,"Lehrstuhlinhaber - Allgemeine Geschichte des Mittelalters, Emeritierter Prof - Allgemeine Geschichte des Mittelalters",FB,16251703,PHIL,Historisches Institut,im Ruhestand
Prof. Dr. phil.,Konstanze,Marx,Lehrstuhlinhaberin - Germanistische Sprachwissenschaft,FB,11581584,PHIL,Institut für Deutsche Philologie,
Prof. Dr. phil.,Manfred,Niemeyer,Professor - Slawische Sprachwissenschaft,FB,,PHIL,Institut für Slawistik,"im Ruhestand, nicht gefunden"
Prof. Dr. phil.,Mathias,Niendorf,"Lehrstuhlinhaber - Osteuropäische Geschichte, Lehrstuhlinhaberin - Historisches Institut",FB,26232743,PHIL,Historisches Institut,
Prof. Dr. phil.,Micha Holm,Werner,"Lehrstuhlinhaber - Praktische Philosophie, Gf. Direktor - Institut für Philosophie",FB,15091152,PHIL,Institut für Philosophie,
Prof. Dr. phil.,Monika,Unzeitig,"Stellv. Direktorin - Institut für Deutsche Philologie, Lehrstuhlinhaberin - Ältere Deutsche Sprache und Literatur",FB,29940551,PHIL,Institut für Deutsche Philologie,
Prof. Dr. phil.,Rainer,Reisenzein,Professor - 210,FB,"35093486, 15750930",MNF,Institut für Psychologie,mehrere web of science records mit etwa gleich vielen publikationen
Prof. Dr. phil.,Reinhard,Bach,"Professor - Französische Sprachwissenschaft, Gf. Direktor - Romanistik, Studienfachberater - Romanistik",FB,4998395,PHIL,Institut für Romanistik,sehr kleines Institut ohne eigene Seite
Prof. Dr. phil.,Sebastian,Domsch,"Lehrstuhlinhaber - Anglophone Literaturwissenschaften (incl. Cultural Studies), Gf. Direktor - Institut für Anglistik/Amerikanistik",FB,7011797,PHIL,Institut für Anglistik und Amerikanistik,
Prof. Dr. phil.,Silke,Jahr,Lehrstuhlinhaberin - Deutsch als Fremdsprache,,,,,
Prof. Dr. phil.,Theresa,Heyd,Lehrstuhlinhaberin - Moderne und Historische Englische Sprachwissenschaft,,,,,
Prof. Dr. phil.,Ulrike,Jekutsch,Professorin - Slawische Literaturwissenschaft,,,,,
Prof. Dr.,Rainer,Westermann,Professor - Allgemeine Psychologie,,,,,
Prof. Dr.,Ralf,Schneider,Lehrstuhlinhaber - Computational Science,,,,,
Prof. Dr. rer. nat.,Andre,Banning,Lehrstuhlinhaber - Geologie,,,,,
Prof. Dr. rer. nat.,Bernd,Kugelmann,Lehrstuhlinhaber - Numerische Mathematik und Optimierung,,,,,
Prof. Dr. rer. nat.,Carola,Schulzke,Lehrstuhlinhaberin - Bioanorganische Chemie,,,,,
Prof. Dr. rer. nat.,Christian,Gliesche,Professor - Arbeitsgruppe Mikrobielle Ökologie,,,,,
Prof. Dr. rer. nat.,Christoph,Bandt,Lehrstuhlinhaber - Stochastik,,,,,
Prof. Dr. rer. nat.,Christoph,Ritter,"wiss. Mitarbeiter - Pharmazie, Professor - Klinische Pharmazie",,,,,
Prof. Dr. rer. nat.,Dörte,Becher,Professorin - Mikrobielle Proteomik,,,,,
Prof. Dr. rer. nat.,Fritz,Scholz,Professor - Elektrobiochemie,,,,,
Prof. Dr. rer. nat.,Gabriele,Uhl,Professorin - Allg. und systematische Zoologie,,,,,
Prof. Dr. rer. nat.,Gerald,Kerth,Professor - Angewandte Zoologie und Naturschutz,,,,,
Prof. Dr. rer. nat.,Hans-Joachim,Schüller,Professor - Molekulare Genetik und Infektionsbiologie (Bio),,,,,
Prof. Dr. rer. nat.,Hans Volkmar,Liebscher,Lehrstuhlinhaber - Biomathematik und Statistik,,,,,
Prof. Dr. rer. nat.,Horst,Krist,Professor - Entwicklungspsychologie und Pädagogische Psychologie,,,,,
Prof. Dr. rer. nat.,Ines,Kath,"Lehrstuhlinhaberin - Analysis, Gf. Direktorin - Mathematik und Informatik",,,,,
Prof. Dr. rer. nat.,Ingelore,Hinz-Schallreuter,Professorin - Paläontologie / Historische Geologie,,,,,
Prof. Dr. rer. nat.,Jan-Peter,Hildebrandt,Professor - Physiologie und Biochemie der Tiere,MG,,MNF,Zoologisches Institut und Museum,not on webofscience
Prof. Dr. rer. nat.,Johannes,Joosten,Professor - Paläoökologie,MG,,,,cannot find information
Prof. Dr. rer. nat.,Jürgen,Kreyling,Professor - Pflanzenökologie,MG,1033084,MNF,Institut für Botanik und Landschaftsökologie,
Prof. Dr. rer. nat.,Klaus,Weisz,Professor - Biochemie III (Analytische Biochemie),MG,,MNF,Institut für Biochemie,not on webofscience
Prof. Dr. rer. nat.,Konrad,Waldorf,Lehrstuhlinhaber - Algebraische Methoden der Analysis,MG,,MNF,Institut für Mathematik und Informatik,not on webofscience
Prof. Dr. rer. nat.,Marc,Ebner,"Lehrstuhlinhaber - Informatik, Stellv. Direktor - Mathematik und Informatik",MG,1911881,MNF,Institut für Mathematik und Informatik,
Prof. Dr. rer. nat.,Mareike,Fischer,Lehrstuhlinhaberin - Biomathematik und Stochastik,MG,2892727,MNF,Institut für Mathematik und Informatik,no publications listed
Prof. Dr. rer. nat.,Maria-Theresia,Schafmeister,Professorin - Angewandte Geologie / Hydrogeologie,MG,,MNF,Institut für Geographie und Geologie,not on webofscience
Prof. Dr. rer. nat.,Mario,Stanke,Lehrstuhlinhaber - Bioinformatik,MG,1177820,MNF,Institut für Mathematik und Informatik,
Prof. Dr. rer. nat.,Martin,Meschede,Professor - Regionale und Strukturgeologie,MG,,MNF,Institut für Geographie und Geologie,not on webofscience
Prof. Dr. rer. nat.,Martin,Schnittler,"Gf. Direktor - Institut für Botanik und Landschaftsökologie, Professor - Allg. und spez. Botanik",MG,1421103,MNF,Institut für Botanik und Landschaftsökologie,
Prof. Dr. rer. nat.,Martin,Wilmking,Professor - Ökosystemdynamik,MG,2053866,MNF,Institut für Botanik und Landschaftsökologie,
Prof. Dr. rer. nat.,Matthias,Eschrig,Lehrstuhlinhaber - Institut für Physik,MG,394932,MNF,Institut für Physik,
Prof. Dr. rer. nat.,Michael,Hecker,Professor - Mikrobielle Physiologie und Molekularbiologie,MG,,MNF,Institut für Mikrobiologie,"not on webofscience, retired"
Prof. Dr. rer. nat.,Michael,Lalk,"Lehrstuhlinhaber - Biochemie IV - Stoffwechselbiochemie / Metabolomics, Stellv. Institutsleiter - Biochemie",MG,1182517,MNF,Institut für Biochemie,
Prof. Dr. rer. nat.,Michael,Lammers,"Gf. Direktor - Biochemie, Lehrstuhlinhaber - Biochemie I (Synthetische und Strukturelle Biochemie)",MG,2064064,MNF,Institut für Biochemie,
Prof. Dr. rer. nat.,Michael,Schürmann,Lehrstuhlinhaber - Algebra und funktionalanalytische Anwendungen,MG,,MNF,Institut für Mathematik und Informatik,not on webofscience
Prof. Dr. rer. nat.,Nikolai,Siemens,Professor - Molekulare Genetik und Infektionsbiologie (Bio),MG,,MNF,Interfakultäres Institut für Genetik und Funktionelle Genomforschung,not on webofscience
Prof. Dr. rer. nat.,Patrick,Bednarski,"Professor - Pharmazie, Lehrkraft - Pharmazeutische / Medizinische Chemie",MG,2041566,MNF,Institut für Pharmazie,
Prof. Dr. rer. nat.,Peter,Manz,Professor - Institut für Physik,MG,1833895,MNF,Institut für Physik,
Prof. Dr. rer. nat.,Reinhard,Lampe,Lehrstuhlinhaber - Physische Geographie,HT,10462691,MNF,Institut für Geographie und Geologie,
Prof. Dr. rer. nat.,Reinhard,Zölitz,Lehrstuhlinhaber - 223,HT,,MNF,Institut für Geographie und Geologie,"no Matches in WebOfScience, Profil auf ResearchGate"
Prof. Dr. rer. nat.,Roland,Pulch,Lehrstuhlinhaber - Angewandte Mathematik,HT,29340731,MNF,Institut für Mathematik und Informatik,
Prof. Dr. rer. nat.,Sabine,Müller,Professorin - Biochemie II (Bioorganische Chemie),HT,653208,MNF,Institut für Biochemie,
Prof. Dr. rer. nat.,Sandra,Klein,Professorin - Biopharmazie und Pharm. Technologie,HT,10342075,MNF,Institut für Pharmazie,"hat noch 2 weitere mögliche WebOfScience Profile: 29844919, 32124424"
Prof. Dr. rer. nat.,Sebastian,van der Linden,"Professor - Geographie, Lehrstuhlinhaber - 480, Lehrstuhlinhaber - Fernerkundung und Geoinformationsverarbeitung",HT,840206,MNF,Institut für Geographie und Geologie,
Prof. Dr. rer. nat.,Steffen,Harzsch,Professor - Cytologie und Evolutionsbiologie,HT,1301247,MNF,Zoologisches Institut und Museum,
Prof. Dr. rer. nat.,Sven,Hammerschmidt,Professor - Molekulare Genetik und Infektionsbiologie (Bio),HT,827774,MNF,Interfakultäres Institut für Genetik und Funktionelle Genomforschung,
Prof. Dr. rer. nat.,Thomas,Jira,Professor - Pharmazie,HT,16021920,MNF,Institut für Pharmazie,
Prof. Dr. rer. nat.,Thomas,Schweder,"Professor - Pharm. Biologie / Pharm. Biotechnologie, Institutsleiter - Pharm. Biologie / Pharm. Biotechnologie",HT,30245214,MNF,Institut für Pharmazie,
Prof. Dr. rer. nat.,Torsten,Haberzettl,Lehrstuhlinhaber - Physische Geographie,HT,2349887,MNF,Institut für Geographie und Geologie,
Prof. Dr. rer. nat.,Uwe,Bornscheuer,Professor - Biotechnologie und Enzymkatalyse,HT,321742,MNF,Institut für Biochemie,
Prof. Dr. rer. pol.,Armin,Rohde,"Professor - Lehrstuhl für AVWL, insbesondere Geld und Währung",HT,,RSF,Fachbereich Wirtschaftswissenschaften,"Allgemeine Volkswirtschaftslehre, no Matches in WebOfScience, Liste von Publikationen auf Uni Website"
Prof. Dr. rer. pol. habil,Jan,Körnert,Lehrstuhlinhaber - Lehrstuhl für ABWL und Internationales Finanzmanagement / Internationale Kapitalmärkte (Stiftungslehrstuhl),HT,,RSF,Fachbereich Wirtschaftswissenschaften,"Allgemeine Betriebswirtschaftslehre, no Matches in WebOfScience, Liste von Publikationen auf Uni Website"
Prof. Dr. rer. pol. habil,Martin,Kloyer,"Lehrstuhlinhaber - Lehrstuhl für ABWL sowie Organisation, Personalwirtschaft und Innovationsmanagement",HT,15268051,RSF,Fachbereich Wirtschaftswissenschaften,Allgemeine Betriebswirtschaftslehre
Prof. Dr. rer. pol. habil,Roland,Rollberg,Lehrstuhlinhaber - Lehrstuhl für ABWL und Produktionswirtschaft,HT,27417070,RSF,Fachbereich Wirtschaftswissenschaften,Allgemeine Betriebswirtschaftslehre
Prof. Dr. rer. pol.,Martin,Steinrücke,"Lehrstuhlinhaber - Lehrstuhl für ABWL sowie Gründungsplanung und Supply Chain Management, Dekan - Rechts- und Staatswissenschaftliche Fakultät",HT,,RSF,Fachbereich Wirtschaftswissenschaften,"Allgemeine Betriebswirtschaftslehre, no Matches in WebOfScience, Liste von ausgewählten Publikationen in PDF auf Uni Website"
Prof. Dr. rer. pol.,Steffen,Fleßa,Lehrstuhlinhaber - Lehrstuhl für ABWL und Gesundheitsmanagement,HT,1245996,RSF,Fachbereich Wirtschaftswissenschaften,Allgemeine Betriebswirtschaftslehre
Prof. Dr. rer. pol.,Susanne,Soretz,"Lehrstuhlinhaberin - Lehrstuhl für AVWL sowie Wachstum, Strukturwandel und Handel",HT,1584822,RSF,Fachbereich Wirtschaftswissenschaften,Allgemeine Volkswirtschaftslehre
Prof. Dr. rer. pol.,Torsten,Mindermann,Lehrstuhlinhaber - Lehrstuhl für ABWL sowie Unternehmensprüfung und -besteuerung,HT,26062928,RSF,Fachbereich Wirtschaftswissenschaften,Allgemeine Betriebswirtschaftslehre
Prof. Dr. rer. pol.,Walter,Ried,Lehrstuhlinhaber - Lehrstuhl für AVWL und Finanzwissenschaft,LH,13991934,RSF,Fachbereich Wirtschaftswissenschaften,Allgemeine Volkswirtschaftslehre
Prof. Dr. rer. pol.,Wilhelm,Steingrube,Professor - Wirtschafts- und Sozialgeographie,LH,15681668,MNF,Institut für Geographie und Geologie,"nur eine Publikation in WebOfScience, mehr Publikationen auf Uni Website, im Ruhestand"
Prof. Dr.,Sixten,Bussemer,Professor - Geoökologie und Bodengeographie,LH,19750317,MNF,Institut für Geographie und Geologie,"nur zwei Publikationen in WebOfScience, mehr bei Forschungsinformationssystem Universität Greifswald "
Prof. Dr.,Stefanie,Averbeck-Lietz,Lehrstuhlinhaberin - Kommunikationswissenschaft,LH,19663629,PHIL,Institut für Politik- und Kommunikationswissenschaft,"für ältere Publikationen noch weiteres Profil mit ID 15197714, im Profil steht Uni Bremen ist aber erst seit 2023 in Greifswald"
Prof. Dr.,Stephan,Kessler,"Professor - Institut für Baltistik, Gf. Direktor - 107",LH,,PHIL,Institut für Baltistik,"no Matches in WebOfScience, Publikationen auf Uni Website"
Prof. Dr.,Susanne,Schnell,Lehrstuhlinhaberin - Medizinphysik,LH,707958,MNF,Institut für Physik,
Prof. Dr.,Susanne,Stoll-Kleemann,Professorin - Nachhaltigkeitswissenschaft und Angewandte Geographie,LH,4439661,MNF,Institut für Geographie und Geologie,
Prof. Dr. theol.,Christfried,Böttrich,Lehrstuhlinhaber - Neues Testament,LH,5827238,THEO,Theologische Fakultät,weitere Publikationen auf Uni Website
Prof. Dr. theol.,Heinrich,Assel,Lehrstuhlinhaber - Systematische Theologie,LH,4786401,THEO,Theologische Fakultät,weitere Publikationen auf Uni Website
Prof. Dr. theol.,Michael,Herbst,"Lehrstuhlinhaber - Praktische Theologie, Direktor - Institut zur Erforschung von Evangelisation und Gemeindeentwicklung (IEEG), Prorektor - Universität Greifswald",LH,,THEO,Theologische Fakultät,"nicht bei WebOfScience, Publikationen auf Uni Website"
Prof. Dr. theol.,Roland,Rosenstock,Lehrstuhlinhaber - PT/Religions- und Medienpädagogik,LH,13797766,THEO,Theologische Fakultät,"nur zwei Publikationen in WebOfScience, mehr auf Uni Website"
Prof. Dr. theol.,Stefan,Beyerle,"Studiendekan - Theologische Fakultät, Lehrstuhlinhaber - Altes Testament und Sprachlektorat",LH,5038091,THEO,Theologische Fakultät,
Prof. Dr. theol.,Thomas,Kuhn,"Lehrstuhlinhaber - Kirchengeschichte, Dekan - Theologische Fakultät",LH,,THEO,Theologische Fakultät,"nicht bei WebOfScience, Publikationen auf Uni Website"
Prof. Dr.,Tobias,Braune-Krickau,Lehrstuhlinhaber - Praktische Theologie,LH,5781747,THEO,Theologische Fakultät,"neueste Publikation bei WebOfScience von 2016, aktuellere Liste von Publikationen auf Uni Website"
Prof. Dr.,Torsten,Fried,"Privatdozent - Allgemeine Geschichte der Neuzeit, Professor - Historisches Institut, Lehrbeauftragter - Historisches Institut",LH,,PHIL,Historisches Institut,Publikationen auf Uni Webseite
Prof.,Michael,Soltau,Lehrstuhlinhaber - Fachdidaktik Kunst,LH,,CDFI,Caspar-David-Friedrich-Institut,"als Künstler nicht publiziert?, im Ruhestand"
Prof. PhD,Laurence,Warr,"Lehrstuhlinhaber - Ökonomische Geologie / Geochemie, Gf. Direktor - Geologie",LH,16185175,MNF,Institut für Geographie und Geologie,